FIELD ERD,Field LightBox Data,Field CoStar Data,Aligned CoStar Data
income_growth,Improvement_noofotherunits,,
income_growth_rate,Improvement_gbaother,,
income_target_percent,Improvement_raother,,
incometarget,Improvement_noofunits,,
industrial_gba,Improvement_gbatotal,,
industrial_ra,Improvement_ratotal,,
ingestion_timestamp,Improvement_landtobuildingratio,,
instance_type,Parcel_far,,
internal_comments,Improvement_surfaceparkingspaces,,
is_active,Improvement_coveredparkingspaces,,
is_confidential,Improvement_garageparkingspaces,,
is_deleted,Improvement_parking,,
is_excel_entry,Improvement_parkingratiounit,,
is_ground_lease,Improvement_parkingratiogba,,
is_lihtc,Improvement_parkingratiora,,
isexcel,Improvement_noofstories,,
jurisdiction,Improvement_noofrooms,,
land_assessment,Improvement_noofseats,,
land_hectares,Improvement_noofbeds,,
land_sf,Improvement_noofbedrooms,,
land_square_meters,Improvement_noofbathrooms,,
land_unit_approved_or_zoned,Improvement_noofhalfbaths,,
land_unit_type,Improvement_noofspaces,,
land_units,Improvement_noofbays,,
land_use,Improvement_noofgolfholes,,
land_value,Improvement_adr,,
land_value_per_sf,Improvement_lhoccupancy,,
last_rent_increase,Improvement_revpar,,
lat,Improvement_productsegment,,
lat_centroid,Improvement_hotelflag,,
lease_commencement_date,Improvement_designappeal,,
lease_comp_id,Improvement_condition,,
lease_concessions,Improvement_construction,,
lease_conditions,Improvement_quality,,
lease_expiration_date,Improvement_landscaping,,
lease_options,Improvement_parkingtype,,
lease_start_date,Improvement_parkingadequacy,,
lease_tenant_improvs,Improvement_parkingcondition,,
lease_term_months,Improvement_parkingcomments,,
lease_transaction_type,Improvement_deferredmaintance,,
lease_type,Improvement_ffande,,
leasedate,Improvement_yearbuilt,,
leaseexpiration,Improvement_yearbuiltnumeric,,
leaseexpiredate,Improvement_renovations,,
leasestart,Improvement_proportionrenovated,,
leaseterm,Improvement_totaleconomiclife,,
legal_description,Improvement_effectiveage,,
lender,Improvement_remainingeconomiclife,,
lender_name,Improvement_foundation,,
lessor,Improvement_exteriorwall,,
lessor_name,Improvement_basementuseandfinish,,
lh_occupancy,Improvement_basementsize,,
lhtc,Improvement_columnspacing,,
lightbox_created_by,Improvement_ceilingheight,,
lightbox_id,Improvement_roofcover,,
lightbox_timestamp,Improvement_rooftype,,
lng,Improvement_nooftruckdoors,,
lng_centroid,Improvement_nooftruckdoorswithlevelers,,
locationdescription,Improvement_craneways,,
major_type,Improvement_typicalbaydepth,,
management_company,Improvement_clearheight,,
market,Improvement_cooling,,
market_rent_max,Improvement_heating,,
market_rent_min,Improvement_noofelevators,,
market_rent_per_mo,Improvement_noofescalators,,
market_rent_per_sf,Improvement_sprinklers,,
marketrentmo,Improvement_residentialdesign,,
marketrentsf,Improvement_residentialamenities,,
max_build_height,Improvement_fireplaceorwoodstove,,
max_gross_lihtc_restricted_rent,Improvement_garage,,
max_site_coverage,Improvement_docks,,
median_hh_income,Improvement_porchordeck,,
median_home_value,Improvement_ancillarybuildings,,
median_household_income,Improvement_tenantimprovements,,
merge_timestamp,Improvement_features,,
merged_by_user_or_system,Improvement_amenities,,
mf_br_max,Improvement_improvmentcomments,,
mf_br_min,Improvement_gbamultifamilymeters,,
mf_carport_fee_monthly,Improvement_ramultifamilymeters,,
mf_garage_fee_monthly,Improvement_gbaofficemeters,,
mf_lease_comments,Improvement_raofficemeters,,
mf_lease_notes,Improvement_gbaretailMeters,,
mf_lease_survey_date,Improvement_raretailmeters,,
mf_occupancy,Improvement_gbaindustrialmeters,,
mf_rent_concessions,Improvement_raindustrialmeters,,
mf_rent_per_mo_max,Improvement_gbaothermeters,,
mf_rent_per_mo_min,Improvement_parkingratiora,,
mf_rent_per_sf_max,Improvement_raothermeters,,
mf_rent_per_sf_min,Improvement_gbatotalmeters,,
mf_rent_per_sf_per_mo_max,Improvement_ratotalmeters,,
mf_rent_per_sf_per_mo_min,Rent Roll Summary_ID,,
mf_rent_type,Rent Roll Summary_instancetype,,
mf_size_sf_max,Rent Roll Summary_commleasesurveydate,,
mf_size_sf_min,Rent Roll Summary_confidential,,
mf_source_notes,Rent Roll Summary_commrentpersfmin,,
mf_surveyed_unit_count_total,Rent Roll Summary_commrentpersfmax,,
mf_total_annual_rent,Rent Roll Summary_rentpersfpermomin,,
mf_total_rent_per_month,Rent Roll Summary_rentpersfpermomax,,
mf_unit_amenities,Rent Roll Summary_commsizemin,,
