Web Page Name,Web Display Name,Excel Template Name,Description,Date Added,Version,Data Type,Display Format,Interface Calculation,API Object,API Field Name,Enumeration ID,Model,API Object_API Field Name,Property Type,,,,,
Transactions,Price Per Space,Price Per Space,Price Per Space,4/30/2021,1.23.1,float,"$#,###.##",Auto-Calculated,Sales,priceperspace,,,Sales_priceperspace,Manufactured Housing,,,,,
Transactions,Price Per GBA Meters,Price Per GBA Meters,Price Per GBA Meters,1/17/2020,,float,"$#,##0.00",Auto-Calculated,Sales,pricepergbameters,,,Sales_pricepergbameters,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Price Per RA Meters,Price Per RA Meters,Price Per Rentable Area Meters,1/17/2020,,float,"$#,##0.00",Auto-Calculated,Sales,priceperrameters,,,Sales_priceperrameters,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Price Per Land Sq. Meters,Price Per Land Sq. Meters,Price Per Land SQ Meters,1/17/2020,,float,"$#,##0.00",Auto-Calculated,Sales,priceperlandsqm,,,Sales_priceperlandsqm,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Price Per Land Hectares,Price Per Land Hectares,Price Per Land Hectares,1/17/2020,,float,"$#,##0",Auto-Calculated,Sales,priceperlandhectares,,,Sales_priceperlandhectares,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Grantor,Grantor,Grantor - Seller,1/25/2014,,string,TA,,Sales,grantor,,,Sales_grantor,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Grantee,Grantee,Grantee - Buyer,1/25/2014,,string,TA,,Sales,grantee,,,Sales_grantee,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Property Rights,Property Rights,"An enforceable, legal claim to title of or interest in property.",1/25/2014,,string,DDL,,Sales,propertyrights,,,Sales_propertyrights,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Financing,Financing,Financing,1/25/2014,,text,General,,Sales,financing,,,Sales_financing,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Conditions of Sale,Conditions of Sale,Conditions of Sale,1/25/2014,,text,General,,Sales,conditionsofsale,,,Sales_conditionsofsale,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Current Use,Current Use,Current Use,1/25/2014,,text,General,,Sales,currentuse,,,Sales_currentuse,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Property Included,Property Included,"Area(s) included in sale (i.e. Real Property, Going Concern, Real & Personal Property)",4/30/2021,1.23.1,string,text,,Sales,propertyincluded,,,Sales_propertyincluded,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Days On Market (DOM),Days On Market,Days On Market,1/25/2014,,text,General,,Sales,daysonmarket,,,Sales_daysonmarket,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Recording Date,Recording Date,Date of Recording Document,2/22/2019,,date,MM/dd/yyyy,,Sales,recordingdate,,,Sales_recordingdate,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Book/Page or Reference Doc,Book/Page or Reference Doc,Book/Page or Reference Doc,1/30/2015,,varchar,,,Sales,bookpageorrefdoc,,,Sales_bookpageorrefdoc,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Lender,Lender,Name of Lender for Transaction,4/30/2021,1.23.1,string,text,,Sales,lender,,,Sales_lender,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Buyer Type,Buyer Type,"Type of buyer (i.e. Owner-User, Investor, Partial-User, etc.)",4/30/2021,1.23.1,string,text,,Sales,buyertype,,,Sales_buyertype,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Proposed Use,Proposed Use,Proposed Use,1/25/2014,,text,General,,Sales,proposeduse,,,Sales_proposeduse,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Highest and Best Use,Highest and Best Use,Highest and Best Use of property at time of sale,4/30/2021,1.23.1,string,text,,Sales,highestandbestuse,,,Sales_highestandbestuse,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Sale Verification Source,Sale Verification Source,Source of this sale's verification,2/22/2019,,varchar,,,Sales,verificationsource,,,Sales_verificationsource,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Sale Verification Phone,Sale Verification Phone,Sale Verification Phone,10/23/2019,,varchar,(###)###-####,,Sales,verificationphone,,,Sales_verificationphone,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Sale Verification Date,Sale Verification Date,Date that this Sale was verified,2/22/2019,,date,MM/dd/yyyy,,Sales,verificationdate,,,Sales_verificationdate,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Sale Data Source,Sale Data Source,Sale Data Source,1/25/2014,,varchar,,,Sales,datasource,,,Sales_datasource,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Sale Supporting Files,Sale Supporting Files,Supporting Files for Sale Transactions,1/25/2014,,text,,,Sales,salesupportingfiles,,,Sales_salesupportingfiles,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Legal Description,Legal Description,Legal Description,1/25/2014,,string,TA,,Sales,legaldescription,,,Sales_legaldescription,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Finish Condition,Finish Condition,"Finish condition at time of sale (i.e. Finished, Warm Shell, etc.)",4/30/2021,1.23.1,string,TA,,Sales,finishcondition,,,Sales_finishcondition,"Retail, Industrial, Office",,,,,
Transactions,Appraisal Date,Appraisal Date,Appraisal Date,1/25/2014,,Date,MM/dd/yyyy,,Sales,appraisaldate,,public DateTime? AppraisalDate { get; set; },Sales_appraisaldate,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
Transactions,Appraised Value,Appraised Value,Appraised Value,1/25/2014,,float,"$#,##0",,Sales,appraisedvalue,,public double? AppraisedValue { get; set; },Sales_appraisedvalue,"Retail, Industrial, Multi-Family (MF), Manufactured Housing, Office",,,,,
