FIELD ERD,Field LightBox Data,Field CoStar Data,Aligned CoStar Data,Field Lightboxdata aligned
improvement_subrecords_usablearea,Improvement_percentretail,,,Improvement_usablearea
improvement_subrecords_yearbuilt,Improvement_noofindustrialunits,,,Improvement_yearbuilt
improvement_value,Improvement_gbaindustrial,,,
improvement_value_per_sf,Improvement_raindustrial,,,
income_growth,Improvement_noofotherunits,,,Sales_incomegrowth
income_growth_rate,Improvement_gbaother,,,Sales_incomegrowthrate
income_target_percent,Improvement_raother,,,Unit Lease_incometarget
incometarget,Improvement_noofunits,,,
industrial_gba,Improvement_gbatotal,,,
industrial_ra,Improvement_ratotal,,,
ingestion_timestamp,Improvement_landtobuildingratio,,,
instance_type,Parcel_far,,,Rent Roll Summary_instancetype
internal_comments,Improvement_surfaceparkingspaces,,,Sales_internalcomments
is_active,Improvement_coveredparkingspaces,,,
is_confidential,Improvement_garageparkingspaces,,,Rent Roll Summary_confidential
is_deleted,Improvement_parking,,,Sales_isdeleted
is_excel_entry,Improvement_parkingratiounit,,,
is_ground_lease,Improvement_parkingratiogba,,,Parcel_isgroundlease
is_lihtc,Improvement_parkingratiora,,,
isexcel,Improvement_noofstories,,,Sales_isexcel
jurisdiction,Improvement_noofrooms,,,
land_assessment,Improvement_noofseats,,,Assessment_landassessment
land_hectares,Improvement_noofbeds,,,Sites_landhectares
land_sf,Improvement_noofbedrooms,,,Sites_SurplusLandSF
land_square_meters,Improvement_noofbathrooms,,,Sites_landsquaremeters
land_unit_approved_or_zoned,Improvement_noofhalfbaths,,,Sites_landunitapprovedorzoned
land_unit_type,Improvement_noofspaces,,,Sites_landunittype
land_units,Improvement_noofbays,,,Sites_landunits
land_use,Improvement_noofgolfholes,,,Sites_landuse
land_value,Improvement_adr,,,Sales_landvalue
land_value_per_sf,Improvement_lhoccupancy,,,
last_rent_increase,Improvement_revpar,,,Unit Lease_lastrentincrease
lat,Improvement_productsegment,,,Parcel_lat
lat_centroid,Improvement_hotelflag,,,
lease_commencement_date,Improvement_designappeal,,,
lease_comp_id,Improvement_condition,,,
lease_concessions,Improvement_construction,,,
lease_conditions,Improvement_quality,,,
lease_expiration_date,Improvement_landscaping,,,Unit Lease_leaseexpiration
lease_options,Improvement_parkingtype,,,
lease_start_date,Improvement_parkingadequacy,,,Rent Roll_leasestartdate
lease_tenant_improvs,Improvement_parkingcondition,,,Rent Roll_leasetenantimprovs
lease_term_months,Improvement_parkingcomments,,,Rent Roll_leaseterm
lease_transaction_type,Improvement_deferredmaintance,,,Rent Roll_leasetransactiontype
lease_type,Improvement_ffande,,,Rent Roll_leasetype
leasedate,Improvement_yearbuilt,,,Rent Roll_leasedate
leaseexpiration,Improvement_yearbuiltnumeric,,,
leaseexpiredate,Improvement_renovations,,,Rent Roll_leaseexpiredate
leasestart,Improvement_proportionrenovated,,,Unit Lease_leasestart
leaseterm,Improvement_totaleconomiclife,,,Rent Roll Summary_commleaseterms
legal_description,Improvement_effectiveage,,,Sales_legaldescription
lender,Improvement_remainingeconomiclife,,,Sales_lender
lender_name,Improvement_foundation,,,
lessor,Improvement_exteriorwall,,,Rent Roll_lessor
lessor_name,Improvement_basementuseandfinish,,,
lh_occupancy,Improvement_basementsize,,,Improvement_lhoccupancy
lhtc,Improvement_columnspacing,,,Unit Lease_lhtc
lightbox_created_by,Improvement_ceilingheight,,,
lightbox_id,Improvement_roofcover,,,
lightbox_timestamp,Improvement_rooftype,,,
lng,Improvement_nooftruckdoors,,,Parcel_lng
lng_centroid,Improvement_nooftruckdoorswithlevelers,,,
locationdescription,Improvement_craneways,,,Parcel_locationdescription
major_type,Improvement_typicalbaydepth,,,
management_company,Improvement_clearheight,,,Unit Lease Summary_managementcompany
market,Improvement_cooling,,,Parcel_market
market_rent_max,Improvement_heating,,,Unit Lease_marketrentmax
market_rent_min,Improvement_noofelevators,,,Unit Lease_marketrentmin
market_rent_per_mo,Improvement_noofescalators,,,Unit Lease_marketrentmo
market_rent_per_sf,Improvement_sprinklers,,,
marketrentmo,Improvement_residentialdesign,,,Unit Lease_marketrentsf
marketrentsf,Improvement_residentialamenities,,,
max_build_height,Improvement_fireplaceorwoodstove,,,
max_gross_lihtc_restricted_rent,Improvement_garage,,,Unit Lease_MaxGrossLIHTCRestrictedRent
max_site_coverage,Improvement_docks,,,
median_hh_income,Improvement_porchordeck,,,
median_home_value,Improvement_ancillarybuildings,,,Sites_medianhomevalue
median_household_income,Improvement_tenantimprovements,,,Sites_medianhouseholdincome
merge_timestamp,Improvement_features,,,Parcel_timestamp
merged_by_user_or_system,Improvement_amenities,,,
mf_br_max,Improvement_improvmentcomments,,,Unit Lease Summary_mfbrmax
mf_br_min,Improvement_gbamultifamilymeters,,,Unit Lease Summary_mfbrmin
mf_carport_fee_monthly,Improvement_ramultifamilymeters,,,Unit Lease Summary_mfcarportfeemonthly
mf_garage_fee_monthly,Improvement_gbaofficemeters,,,Unit Lease Summary_mfgaragefeemonthly
mf_lease_comments,Improvement_raofficemeters,,,Unit Lease Summary_mfleasecomments
mf_lease_notes,Improvement_gbaretailMeters,,,Unit Lease Summary_mfleasenotes
mf_lease_survey_date,Improvement_raretailmeters,,,Unit Lease Summary_mfleasesurveydate
mf_occupancy,Improvement_gbaindustrialmeters,,,Unit Lease Summary_mfoccupancy
mf_rent_concessions,Improvement_raindustrialmeters,,,Unit Lease Summary_mfrentconcessions
mf_rent_per_mo_max,Improvement_gbaothermeters,,,Unit Lease Summary_mfrentpermomax
mf_rent_per_mo_min,Improvement_parkingratiora,,,Unit Lease Summary_mfrentpermomin
mf_rent_per_sf_max,Improvement_raothermeters,,,
mf_rent_per_sf_min,Improvement_gbatotalmeters,,,
mf_rent_per_sf_per_mo_max,Improvement_ratotalmeters,,,Unit Lease Summary_mfrentpersfpermomax
mf_rent_per_sf_per_mo_min,Rent Roll Summary_ID,,,Unit Lease Summary_mfrentpersfpermomin
mf_rent_type,Rent Roll Summary_instancetype,,,Unit Lease Summary_mfrenttype
mf_size_sf_max,Rent Roll Summary_commleasesurveydate,,,
mf_size_sf_min,Rent Roll Summary_confidential,,,
mf_source_notes,Rent Roll Summary_commrentpersfmin,,,Unit Lease Summary_MFSourceNotes
mf_surveyed_unit_count_total,Rent Roll Summary_commrentpersfmax,,,Unit Lease Summary_mfsurveyedunitcounttotal
mf_total_annual_rent,Rent Roll Summary_rentpersfpermomin,,,Unit Lease Summary_mftotalannualrent
