CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields,CoStar Aligned Fields
,,incExp_fuelexpense,
,,incExp_trashexpense,
,,incExp_totalutilities,
,,incExp_buildingrepairs,
,,incExp_otherrepairs,
,,incExp_repairsandmaintenance,
,,incExp_paintinganddecorating,
,,incExp_generalandadministrative2,
,,incExp_cleaning,
,,incExp_managerleasingsalaries,
,,incExp_maintenancesalaries,
,,incExp_othersalaries,
,,incExp_payrolltaxes,
,,incExp_payrolltotal,
,,incExp_groundsandsecurity,
,,incExp_professionalservicesexp,
,,incExp_generalandadministrative,
,,incExp_nonrevenueunits,
,,incExp_otherexpenses,
,,incExp_reserves,
,,incExp_deductreserves,
,,incExp_expleasingcommissions,
,,incExp_exptenantimprovements,
,,incExp_GroundRentExp,
,,incExp_totalexpenses,
,,incExp_ExpensePerSF,Ops Expense Per SF
,,incExp_ExpensePerUnit,
,,incExp_expenseratio,
,,incExp_noi,
,,incExp_noipersf,
,,incExp_noiperbed,
,,incExp_noipergbam2,
,,incExp_noiperrasf,
,,incExp_noiperunit,
,,incExp_noiperusablesf,
,,Saleinfo_NIM,
,,incExp_comments,
,,Assessment_improvementassessment,
,,Assessment_taxyear,Tax Year
,,Assessment_taxratecode,
,,Assessment_taxrateper,
,,Assessment_taxes,
,,Assessment_marketvalue,
,,Assessment_taxespersfgba,
,,Assessment_taxesperra,
,,Assessment_taxesperunit,
,,Assessment_taxesperlandsf,
,,Assessment_taxesperacre,
,,Assessment_taxesperlandunit,
,,Assessment_taxespergbam2,
,,Assessment_taxesperram2,
,,Assessment_taxesperhectares,
,,Assessment_taxesperlandm2,
,,Assessment_assessmentcomments,
,,Assessment_assessorwebsite,
,,Assessment_historicalassessedvalue1,
,,Assessment_historicalassessedvalue2,
,,Assessment_historicalassessedvalue3,
,,Assessment_historicalassessedvalue4,
