LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields
Assessment_landassessment,,mf_size_sf_max,
Assessment_improvementassessment,,mf_size_sf_min,
Assessment_otherassessment,,mf_source_notes,
Assessment_totalassessment,,mf_surveyed_unit_count_total,
Assessment_taxyear,,mf_total_annual_rent,
Assessment_taxratecode,,mf_total_rent_per_month,
Assessment_taxrate,,mf_unit_amenities,
Assessment_taxrateper,,mf_vacant_units_count,
Assessment_basetaxes,,mf_weighted_avg_rent_per_sf_per_mo,
Assessment_specialassessments,,mf_weighted_avg_rent_per_sf_per_year,
Assessment_taxes,,mf_weighted_avg_rent_per_unit,
Assessment_marketvalue,,mfamenities,
Assessment_taxespersfgba,,min_lot_area,Zoning_Subrecords_minlotarea
Assessment_taxesperra,,minimum_lot_area,Zoning_minimumlotarea
Assessment_taxesperunit,,monthly_or_daily_rent,
Assessment_taxesperlandsf,,msa,Parcel_msa
Assessment_taxesperacre,,multifamily_gba,
Assessment_taxesperlandunit,,municipality,Parcel_municipality
Assessment_taxespergbam2,,name,Parcel_name
Assessment_taxesperram2,,neighborhood,Parcel_neighborhood
Assessment_taxesperhectares,,neighborhoodcomments,Parcel_neighborhoodcomments
Assessment_taxesperlandm2,,net_income_multiplier,
Assessment_equalizationratio,,net_rentable_area,Improvement_Subrecords_rentablearea
Assessment_impliedvalue,,new_value,
Assessment_assessmentcomments,,nim,Sales_nim
Assessment_assessorwebsite,,no_of_baths,
Assessment_historicalassessedvalue1,,no_of_buildings,Improvement_noofbuildings
Assessment_historicalassessedvalue2,,no_of_craneways,
Assessment_historicalassessedvalue3,,no_of_docks,
Assessment_historicalassessedvalue4,,no_of_mf_bathrooms,
Assessment_historicalimprovvalue1,,no_of_multifamily_bedrooms,
Assessment_historicalimprovvalue2,,no_of_multifamily_rooms,
Assessment_historicalimprovvalue3,,no_of_tenants,
Assessment_historicalimprovvalue4,,north_boundary,Parcel_northboundary
Assessment_historicallandvalue1,,notes,
Assessment_historicallandvalue2,,number_of_parcels,
Assessment_historicallandvalue3,,number_of_units,
Assessment_historicallandvalue4,,occupancy_type,
Assessment_historicaltaxes1,,office_gba,
Assessment_historicaltaxes2,,office_ra,
Assessment_historicaltaxes3,,old_value,
Assessment_historicaltaxes4,,opportunity_zone,Parcel_opportunityzone
Assessment_historicalyear1,,options,
Assessment_historicalyear2,,ordinance_document,Zoning_OrdinanceDocument
Assessment_historicalyear3,,ordinance_document_url,
Assessment_historicalyear4,,original_list_price,Sales_originallistprice
Zoning_jurisdiction,,original_lp_percent_diff,Sales_originallppercentdiff
Zoning_district,,other_acres,Sites_otheracres
Zoning_zoningcode,,other_adjustment,Sales_otheradjustment
Zoning_type,,other_assessment,Assessment_otherassessment
Zoning_summary,,other_db_refs,Parcel_otherdbrefs
Zoning_zoneddensity,,other_gba,
Zoning_PermittedUses,,other_ra,
Zoning_maxsitecoverage,,owner,Parcel_owner
Zoning_minimumlotarea,,parcel_comments,Sites_sitecomments
Zoning_setbackdistance,,parcel_id,Improvement_Subrecords_id
Zoning_sideyarddistance,,parcel_verification_data,Sales_verificationdate
Zoning_rearyarddistance,,parent_geo_id,
Zoning_maxbuildheight,,parking_adequacy_id,
Zoning_parkingrequirement,,parking_condition_id,
Zoning_OrdinanceDocument,,parking_ratio_gba,
Zoning_comments,,parking_ratio_ra,
Assessment_Subparcels OLD_impliedvalue,,parking_ratio_unit,Improvement_parkingratiounit
Zoning_Subrecords_id,,parking_requirement,Zoning_parkingrequirement
Zoning_Subrecords_Zoningid,,parking_type_id,Improvement_Subrecords_parkingtype
Zoning_Subrecords_authority,,per_pupil_spending,
Zoning_Subrecords_NA_jurisdiction,,percent_diminution_in_value,Sales_percentdiminutioninvalue
Zoning_Subrecords_district,,percent_office_ul,Improvement_Subrecords_percentoffice
Zoning_Subrecords_zoning,,percent_rent,
Zoning_Subrecords_zoneddensity,,percent_stigma,Sales_percentstigma
Zoning_Subrecords_permitteduses,,percent_tillable,Sites_percenttillable
Zoning_Subrecords_maxsitecoverage,,percent_wetlands,Sites_percentwetlands
Zoning_Subrecords_minlotarea,,perimeter,Improvement_perimeter
Zoning_Subrecords_frontsetbackdistance,,perimeter_sf,
Zoning_Subrecords_sideyarddistance,,permitted_uses,Zoning_PermittedUses
Zoning_Subrecords_backyarddistance,,pgim,Sales_pgim
Zoning_Subrecords_maxbuildheight,,population,
Zoning_Subrecords_ordinancedocument,,potential_gross_income_multiplier,
Zoning_Subrecords_comments,,price,Sales_price
Sites_Subparcels_parcelid,,price_adjustment,Sales_priceadjustment
Sites_Subparcels_id,,price_per_acre,Sales_priceperacre
Sites_Subparcels_identification,,price_per_bay,Sales_priceperra
Sites_Subparcels_acres,,price_per_bed,
Sites_Subparcels_landsf,,price_per_bedroom,
Sites_Subparcels_subparcelcomments,,price_per_buildable_sf,Sales_priceperbuildablesf
Improvement_Subrecords_NA_parcelId,,price_per_far,Sales_priceperfar
Improvement_Subrecords_id,,price_per_gba_meters,
Improvement_Subrecords_buildingdescription,,price_per_land_hectares,Sales_priceperlandhectares
_constructionclassid,,price_per_land_sf,
Improvement_Subrecords_constructionclass,,price_per_land_sqm,Sales_priceperlandsqm
_buildingclassid,,price_per_land_unit,Sales_priceperlandunit
Improvement_Subrecords_buildingclass,,price_per_mf_bedroom,
Improvement_Subrecords_perimetersf,,price_per_mf_room,
_sourceforsfareaid,,price_per_primary_frontage,Sales_priceperprimaryfrontage
Improvement_Subrecords_sourceforsfarea,,price_per_ra,
Improvement_Subrecords_noofofficeunits,,price_per_ra_meters,
Improvement_Subrecords_officegba,,price_per_room,
Improvement_Subrecords_officera,,price_per_sf,
Improvement_Subrecords_usablearea,,price_per_space,
Improvement_Subrecords_percentoffice,,price_per_unit,
Improvement_Subrecords_percentofficera,,price_per_usable_acre,Sales_priceperusableacre
Improvement_Subrecords_othergba,,price_per_usable_land_sf,Sales_priceperusablelandsf
Improvement_Subrecords_otherra,,priceactual,Sales_priceactual
