LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields
incExp_sewerexpense,,lessor
incExp_gasexpense,,lessor_name
incExp_fuelexpense,,lh_occupancy
incExp_trashexpense,,lhtc
incExp_totalutilities,,lightbox_created_by
incExp_buildingrepairs,,lightbox_id
incExp_otherrepairs,,lightbox_timestamp
incExp_repairsandmaintenance,,lng
incExp_paintinganddecorating,,lng_centroid
incExp_generalandadministrative2,,locationdescription
incExp_cleaning,,major_type
incExp_cam,,management_company
incExp_managerleasingsalaries,,market
incExp_maintenancesalaries,,market_rent_max
incExp_othersalaries,,market_rent_min
incExp_payrolltaxes,,market_rent_per_mo
incExp_payrolltotal,,market_rent_per_sf
incExp_groundsandsecurity,,marketrentmo
incExp_professionalservicesexp,,marketrentsf
incExp_generalandadministrative,,max_build_height
incExp_nonrevenueunits,,max_gross_lihtc_restricted_rent
incExp_otherexpenses,,max_site_coverage
incExp_reserves,,median_hh_income
incExp_deductreserves,,median_home_value
incExp_expleasingcommissions,,median_household_income
incExp_exptenantimprovements,,merge_timestamp
incExp_GroundRentExp,,merged_by_user_or_system
incExp_totalexpenses,,mf_br_max
incExp_ExpensePerSF,,mf_br_min
incExp_ExpensePerUnit,,mf_carport_fee_monthly
incExp_expenseratio,,mf_garage_fee_monthly
incExp_noi,,mf_lease_comments
incExp_noipersf,,mf_lease_notes
incExp_noiperbed,,mf_lease_survey_date
incExp_noipergbam2,,mf_occupancy
incExp_noiperrasf,,mf_rent_concessions
incExp_noiperunit,,mf_rent_per_mo_max
incExp_noiperusablesf,,mf_rent_per_mo_min
Saleinfo_NIM,,mf_rent_per_sf_max
incExp_comments,,mf_rent_per_sf_min
Assessment_taxingauthority,,mf_rent_per_sf_per_mo_max
Assessment_taxid,,mf_rent_per_sf_per_mo_min
Assessment_assessmentyear,,mf_rent_type
Assessment_landassessment,,mf_size_sf_max
Assessment_improvementassessment,,mf_size_sf_min
Assessment_otherassessment,,mf_source_notes
Assessment_totalassessment,,mf_surveyed_unit_count_total
Assessment_taxyear,,mf_total_annual_rent
Assessment_taxratecode,,mf_total_rent_per_month
Assessment_taxrate,,mf_unit_amenities
Assessment_taxrateper,,mf_vacant_units_count
Assessment_basetaxes,,mf_weighted_avg_rent_per_sf_per_mo
Assessment_specialassessments,,mf_weighted_avg_rent_per_sf_per_year
Assessment_taxes,,mf_weighted_avg_rent_per_unit
Assessment_marketvalue,,mfamenities
Assessment_taxespersfgba,,min_lot_area
Assessment_taxesperra,,minimum_lot_area
Assessment_taxesperunit,,monthly_or_daily_rent
Assessment_taxesperlandsf,,msa
Assessment_taxesperacre,,multifamily_gba
Assessment_taxesperlandunit,,municipality
Assessment_taxespergbam2,,name
Assessment_taxesperram2,,neighborhood
Assessment_taxesperhectares,,neighborhoodcomments
Assessment_taxesperlandm2,,net_income_multiplier
Assessment_equalizationratio,,net_rentable_area
Assessment_impliedvalue,,new_value
Assessment_assessmentcomments,,nim
Assessment_assessorwebsite,,no_of_baths
Assessment_historicalassessedvalue1,,no_of_buildings
Assessment_historicalassessedvalue2,,no_of_craneways
Assessment_historicalassessedvalue3,,no_of_docks
Assessment_historicalassessedvalue4,,no_of_mf_bathrooms
Assessment_historicalimprovvalue1,,no_of_multifamily_bedrooms
Assessment_historicalimprovvalue2,,no_of_multifamily_rooms
Assessment_historicalimprovvalue3,,no_of_tenants
Assessment_historicalimprovvalue4,,north_boundary
Assessment_historicallandvalue1,,notes
Assessment_historicallandvalue2,,number_of_parcels
Assessment_historicallandvalue3,,number_of_units
Assessment_historicallandvalue4,,occupancy_type
Assessment_historicaltaxes1,,office_gba
Assessment_historicaltaxes2,,office_ra
Assessment_historicaltaxes3,,old_value
Assessment_historicaltaxes4,,opportunity_zone
Assessment_historicalyear1,,options
Assessment_historicalyear2,,ordinance_document
Assessment_historicalyear3,,ordinance_document_url
Assessment_historicalyear4,,original_list_price
Zoning_jurisdiction,,original_lp_percent_diff
Zoning_district,,other_acres
Zoning_zoningcode,,other_adjustment
Zoning_type,,other_assessment
Zoning_summary,,other_db_refs
Zoning_zoneddensity,,other_gba
Zoning_PermittedUses,,other_ra
Zoning_maxsitecoverage,,owner
Zoning_minimumlotarea,,parcel_comments
Zoning_setbackdistance,,parcel_id
Zoning_sideyarddistance,,parcel_verification_data
Zoning_rearyarddistance,,parent_geo_id
Zoning_maxbuildheight,,parking_adequacy_id
Zoning_parkingrequirement,,parking_condition_id
Zoning_OrdinanceDocument,,parking_ratio_gba
Zoning_comments,,parking_ratio_ra
Assessment_Subparcels OLD_impliedvalue,,parking_ratio_unit
Zoning_Subrecords_id,,parking_requirement
Zoning_Subrecords_Zoningid,,parking_type_id
Zoning_Subrecords_authority,,per_pupil_spending
Zoning_Subrecords_NA_jurisdiction,,percent_diminution_in_value
Zoning_Subrecords_district,,percent_office_ul
Zoning_Subrecords_zoning,,percent_rent
Zoning_Subrecords_zoneddensity,,percent_stigma
Zoning_Subrecords_permitteduses,,percent_tillable
Zoning_Subrecords_maxsitecoverage,,percent_wetlands
Zoning_Subrecords_minlotarea,,perimeter
Zoning_Subrecords_frontsetbackdistance,,perimeter_sf
Zoning_Subrecords_sideyarddistance,,permitted_uses
Zoning_Subrecords_backyarddistance,,pgim
Zoning_Subrecords_maxbuildheight,,population
Zoning_Subrecords_ordinancedocument,,potential_gross_income_multiplier
Zoning_Subrecords_comments,,price
Sites_Subparcels_parcelid,,price_adjustment
Sites_Subparcels_id,,price_per_acre
Sites_Subparcels_identification,,price_per_bay
Sites_Subparcels_acres,,price_per_bed
Sites_Subparcels_landsf,,price_per_bedroom
Sites_Subparcels_subparcelcomments,,price_per_buildable_sf
Improvement_Subrecords_NA_parcelId,,price_per_far
Improvement_Subrecords_id,,price_per_gba_meters
Improvement_Subrecords_buildingdescription,,price_per_land_hectares
_constructionclassid,,price_per_land_sf
Improvement_Subrecords_constructionclass,,price_per_land_sqm
_buildingclassid,,price_per_land_unit
Improvement_Subrecords_buildingclass,,price_per_mf_bedroom
Improvement_Subrecords_perimetersf,,price_per_mf_room
_sourceforsfareaid,,price_per_primary_frontage
Improvement_Subrecords_sourceforsfarea,,price_per_ra
Improvement_Subrecords_noofofficeunits,,price_per_ra_meters
Improvement_Subrecords_officegba,,price_per_room
Improvement_Subrecords_officera,,price_per_sf
Improvement_Subrecords_usablearea,,price_per_space
Improvement_Subrecords_percentoffice,,price_per_unit
Improvement_Subrecords_percentofficera,,price_per_usable_acre
Improvement_Subrecords_othergba,,price_per_usable_land_sf
Improvement_Subrecords_otherra,,priceactual
Improvement_Subrecords_gba,,primary_frontage_lf
Improvement_Subrecords_rentablearea,,primary_frontage_st
Improvement_Subrecords_landtobuildingratio,,product_segment
Improvement_Subrecords_noofstories,,productivity_index
Improvement_Subrecords_noofseats,,project_amenities
Improvement_Subrecords_noofhalfbaths,,project_id
Improvement_Subrecords_noofgolfholes,,project_name
Improvement_Subrecords_designappeal,,project_property_id
Improvement_Subrecords_conditionid,,project_style
Improvement_Subrecords_condition,,property_assessment_id
Improvement_Subrecords_construction,,property_id
Improvement_Subrecords_qualityid,,property_included
Improvement_Subrecords_quality,,property_rights
Improvement_Subrecords_landscaping,,property_type
Improvement_Subrecords_parkingtype,,property_type_id
