Initial ERD Field Names,Updated ERD Field Names,LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields
improvement_subrecords_garageparkingspaces,lease_concessions,Improvement_Subrecords_roofcoverid,,implied_value,Assessment_impliedvalue
improvement_subrecords_gbatotalmeters,lease_conditions,Improvement_Subrecords_rooftype,,improvement_assessment,Assessment_assessmentyear
improvement_subrecords_heating,lease_expiration_date,Improvement_Subrecords_rooftypeid,,improvement_comments,Rent Roll_comments
improvement_subrecords_landscaping,lease_options,Improvement_Subrecords_sourceforsfarea,,improvement_id,Parcel_id
improvement_subrecords_landtobuildingratio,lease_start_date,Improvement_Subrecords_sprinklers,,improvement_subrecords_condition,Improvement_Subrecords_condition
improvement_subrecords_loadfactor,lease_tenant_improvs,Improvement_Subrecords_sprinklersid,,improvement_subrecords_construction,Improvement_Subrecords_construction
improvement_subrecords_multifamilyamenities,lease_term_months,Improvement_Subrecords_tenantimprovements,,improvement_subrecords_cooling,Improvement_Subrecords_cooling
improvement_subrecords_noofbathrooms,lease_transaction_type,Improvement_Subrecords_totaleconomiclife,,improvement_subrecords_deferredmaintance,Improvement_Subrecords_deferredmaintance
improvement_subrecords_noofbays,lease_type,Improvement_Subrecords_usablearea,,improvement_subrecords_docks,Improvement_Subrecords_docks
improvement_subrecords_noofbedrooms,leaseexpiredate,Improvement_Subrecords_yearbuilt,,improvement_subrecords_foundation,Improvement_Subrecords_foundation
improvement_subrecords_noofbeds,leasestartdate,Improvement_surfaceparkingspaces,,improvement_subrecords_garage,Improvement_garage
improvement_subrecords_noofelevators,legal_description,Improvement_tenantimprovements,,improvement_subrecords_heating,Improvement_Subrecords_heating
improvement_subrecords_noofescalators,lender_name,Improvement_totaleconomiclife,,improvement_subrecords_landscaping,Improvement_landscaping
improvement_subrecords_noofgolfholes,lessor_name,Improvement_yearbuilt,,improvement_subrecords_landtobuildingratio,Improvement_landtobuildingratio
improvement_subrecords_noofhalfbaths,lh_occupancy,Improvement_yearbuiltnumeric,,improvement_subrecords_loadfactor,
improvement_subrecords_noofrooms,lightbox_created_by,incExp_advertisingandmarketing,,improvement_subrecords_multifamilyamenities,
improvement_subrecords_noofseats,lightbox_id,incExp_annualrent,,improvement_subrecords_noofbathrooms,
improvement_subrecords_noofspaces,lightbox_timestamp,incExp_baserentabatement,,improvement_subrecords_noofbays,
improvement_subrecords_noofstories,lng,incExp_buildingrepairs,,improvement_subrecords_noofbedrooms,
improvement_subrecords_nooftruckdoors,lng_centroid,incExp_cam,,improvement_subrecords_noofbeds,
improvement_subrecords_nooftruckdoorswithlevelers,load_factor,incExp_cleaning,,improvement_subrecords_noofelevators,Improvement_noofelevators
improvement_subrecords_noofunits,major_type,incExp_comments,,improvement_subrecords_noofescalators,Improvement_noofescalators
improvement_subrecords_parking,management_company,incExp_deductreserves,,improvement_subrecords_noofgolfholes,Improvement_noofgolfholes
improvement_subrecords_parkingadequacy,market_rent_max,incExp_egi,,improvement_subrecords_noofhalfbaths,Improvement_Subrecords_noofhalfbaths
improvement_subrecords_parkingcomments,market_rent_min,incExp_egipersf,,improvement_subrecords_noofrooms,
