Entities Name,Updated ERD Field Names,CoStar Source Fields,GreenST market data,Trepp Fields
,,,,Physical Vacancy
,,,,Other Revenue
,,,,Net Parking Income
,,,,Cable Income
,,,,Laundry Income
,,,,Other Income
,,,,Expense Reimbursements
,,,,Flex Income Item
,,,,Total Other Revenue
,,,,Net Operating Income
,,,,Effective Gross Income
,,,,Total Expenses
,,,,Real Estate Taxes
,,,,Insurance
,,,,Natural Gas
,,,,Electricity
,,,,Water/Sewer
,,,,Trash
,,,,Other Utilities
,,,,Total Utilities
,,,,Grounds
,,,,Exteriminating/Pest Contol
,,,,Cleaning/Unit Turnover
,,,,Other Repairs and Maintenance
,,,,Total Repairs and Maintenance
,,,,Security
,,,,Administrative Payroll
,,,,Maintenance Payroll
,,,,Employee Tax and Benefits
,,,,Employee Units
,,,,Total Payroll
,,,,Model Units
,,,,Other Advertising
,,,,Total Advertising and Marketing
,,,,General/Administrative
,,,,Management
,,,,Ground Rent
,,,,Flex Expense Item
,,,,Reserves
,,,,Expense Ratio
market_forecast_snapshot,,,Period,
,,,Slice,
,,,As Of,
,,,Forecast Scenario,
