LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields
Sales_improvementvalue,,office_gba
Sales_improvementvaluepersf,,office_ra
Sales_incomegrowth,,old_value
Sales_incomegrowthrate,,opportunity_zone
Sales_internalcomments,,options
Sales_isdeleted,,ordinance_document
Sales_isexcel,,ordinance_document_url
Sales_landvalue,,original_list_price
Sales_landvaluepersf,,original_lp_percent_diff
Sales_legaldescription,,other_acres
Sales_lender,,other_adjustment
Sales_nim,,other_assessment
Sales_originallistprice,,other_db_refs
Sales_originallppercentdiff,,other_gba
Sales_otheradjustment,,other_ra
Sales_percentdiminutioninvalue,,owner
Sales_percentstigma,,parcel_comments
Sales_pgim,,parcel_id
Sales_pgim,,parcel_verification_data
Sales_price,,parent_geo_id
Sales_priceactual,,parking_adequacy_id
Sales_priceadjustment,,parking_condition_id
Sales_priceperacre,,parking_ratio_gba
Sales_priceperbed,,parking_ratio_ra
Sales_priceperbedroom,,parking_ratio_unit
Sales_priceperbuildablesf,,parking_requirement
Sales_priceperfar,,parking_type_id
Sales_pricepergbameters,,per_pupil_spending
Sales_priceperlandhectares,,percent_diminution_in_value
Sales_priceperlandsf,,percent_office_ul
Sales_priceperlandsqm,,percent_rent
Sales_priceperlandunit,,percent_stigma
Sales_pricepermfbedroom,,percent_tillable
Sales_pricepermfroom,,percent_wetlands
Sales_priceperprimaryfrontage,,perimeter
Sales_priceperra,,perimeter_sf
Sales_priceperrameters,,permitted_uses
Sales_priceperroom,,pgim
Sales_pricepersf,,population
Sales_priceperunit,,potential_gross_income_multiplier
Sales_priceperusableacre,,price
Sales_priceperusableacre,,price_adjustment
Sales_priceperusablelandsf,,price_per_acre
Sales_propertyincluded,,price_per_bay
Sales_propertyrights,,price_per_bed
Sales_proposeduse,,price_per_bedroom
Sales_recordingdate,,price_per_buildable_sf
Sales_responsibleparty,,price_per_far
Sales_riskprofile,,price_per_gba_meters
Sales_salecomments,,price_per_land_hectares
Sales_saledate,,price_per_land_sf
Sales_salenotes,,price_per_land_sqm
Sales_salesupportingfiles,,price_per_land_unit
Sales_terminalcaprate,,price_per_mf_bedroom
Sales_toscaprate,,price_per_mf_room
