LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields
Improvement_Subrecords_perimetersf,,improvement_subrecords_docks,Improvement_docks
Improvement_Subrecords_porchordeck,,improvement_subrecords_foundation,Improvement_Subrecords_foundation
Improvement_Subrecords_quality,,improvement_subrecords_garage,Improvement_garage
Improvement_Subrecords_qualityid,,improvement_subrecords_heating,Improvement_Subrecords_heating
Improvement_Subrecords_ramultifamilymeters,,improvement_subrecords_landscaping,Improvement_landscaping
Improvement_Subrecords_raothermeters,,improvement_subrecords_landtobuildingratio,Improvement_landtobuildingratio
Improvement_Subrecords_ratotalmeters,,improvement_subrecords_loadfactor,
Improvement_Subrecords_remainingeconomiclife,,improvement_subrecords_multifamilyamenities,Improvement_multifamilyamenities
Improvement_Subrecords_renovations,,improvement_subrecords_noofbathrooms,Improvement_noofbathrooms
Improvement_Subrecords_rentablearea,,improvement_subrecords_noofbays,
Improvement_Subrecords_residentialamenities,,improvement_subrecords_noofbedrooms,Improvement_noofbedrooms
Improvement_Subrecords_residentialdesign,,improvement_subrecords_noofbeds,Improvement_noofbeds
Improvement_Subrecords_roofcover,,improvement_subrecords_noofelevators,Improvement_noofelevators
Improvement_Subrecords_roofcoverid,,improvement_subrecords_noofescalators,Improvement_noofescalators
Improvement_Subrecords_rooftype,,improvement_subrecords_noofgolfholes,Improvement_noofgolfholes
Improvement_Subrecords_rooftypeid,,improvement_subrecords_noofhalfbaths,Improvement_noofhalfbaths
Improvement_Subrecords_sourceforsfarea,,improvement_subrecords_noofrooms,Improvement_noofrooms
Improvement_Subrecords_sprinklers,,improvement_subrecords_noofseats,Improvement_noofseats
Improvement_Subrecords_sprinklersid,,improvement_subrecords_noofspaces,Sites_NumberOfParcels
Improvement_Subrecords_tenantimprovements,,improvement_subrecords_noofstories,Improvement_noofstories
Improvement_Subrecords_totaleconomiclife,,improvement_subrecords_nooftruckdoors,Improvement_Subrecords_nooftruckdoors
Improvement_Subrecords_yearbuilt,,improvement_subrecords_nooftruckdoorswithlevelers,Improvement_Subrecords_nooftruckdoorswithlevelers
Improvement_surfaceparkingspaces,,improvement_subrecords_noofunits,Improvement_noofunits
Improvement_totaleconomiclife,,improvement_subrecords_parking,Improvement_parking
Improvement_yearbuilt,,improvement_subrecords_parkingadequacy,Improvement_parkingadequacy
Improvement_yearbuiltnumeric,,improvement_subrecords_parkingcomments,Improvement_parkingcomments
incExp_advertisingandmarketing,,improvement_subrecords_parkingcondition,Improvement_parkingcondition
incExp_annualrent,,improvement_subrecords_parkingtype,Improvement_parkingtype
incExp_baserentabatement,,improvement_subrecords_porchordeck,Improvement_porchordeck
incExp_buildingrepairs,,improvement_subrecords_proportionrenovated,Improvement_proportionrenovated
incExp_cam,,improvement_subrecords_quality,Improvement_quality
incExp_cleaning,,improvement_subrecords_ratotalmeters,Improvement_ratotalmeters
incExp_comments,,improvement_subrecords_remainingeconomiclife,Improvement_remainingeconomiclife
incExp_deductreserves,,improvement_subrecords_renovations,Improvement_renovations
incExp_egi,,improvement_subrecords_residentialamenities,Improvement_residentialamenities
incExp_egipersf,,improvement_subrecords_residentialdesign,Improvement_residentialdesign
incExp_egiperunit,,improvement_subrecords_roofcover,Improvement_roofcover
incExp_electricexpense,,improvement_subrecords_rooftype,Improvement_rooftype
incExp_ExpensePerSF,,improvement_subrecords_sourceforsfarea,Improvement_sourceforsfarea
incExp_ExpensePerUnit,,improvement_subrecords_sprinklers,Improvement_sprinklers
incExp_expenseratio,,improvement_subrecords_surfaceparkingspaces,Improvement_surfaceparkingspaces
incExp_expensereimbursements,,improvement_subrecords_tenantimprovements,Improvement_Subrecords_tenantimprovements
incExp_expleasingcommissions,,improvement_subrecords_totaleconomiclife,Improvement_Subrecords_totaleconomiclife
incExp_exptenantimprovements,,improvement_subrecords_typicalbaydepth,
incExp_financialstype,,improvement_subrecords_usablearea,Sites_usableacres
incExp_fuelexpense,,improvement_subrecords_yearbuilt,Improvement_Subrecords_yearbuilt
incExp_gasexpense,,improvement_value,
incExp_generalandadministrative,,improvement_value_per_sf,
incExp_generalandadministrative2,,income_growth,Sales_incomegrowth
incExp_GroundRentExp,,income_growth_rate,Sales_incomegrowthrate
incExp_groundsandsecurity,,income_target_percent,Unit Lease_incometarget
incExp_insurance,,incometarget,
incExp_maintenancesalaries,,industrial_gba,
incExp_management,,industrial_ra,
incExp_managerleasingsalaries,,ingestion_timestamp,
incExp_name,,instance_type,Unit Lease Summary_instancetype
incExp_netparkingincome,,internal_comments,Sales_internalcomments
incExp_noi,,is_active,
incExp_noiperbed,,is_confidential,
incExp_noipergbam2,,is_deleted,Sales_isdeleted
incExp_noiperrasf,,is_excel_entry,
incExp_noipersf,,is_ground_lease,Parcel_isgroundlease
incExp_noiperunit,,is_lihtc,
incExp_noiperusablesf,,isexcel,Sales_isexcel
incExp_nonrevenueunits,,jurisdiction,Zoning_jurisdiction
incExp_occupancy,,land_assessment,Assessment_landassessment
incExp_onsitemanagementexp,,land_hectares,Sites_landhectares
incExp_otherexpenses,,land_sf,Sites_SurplusLandSF
incExp_otherincome,,land_square_meters,Sites_landsquaremeters
incExp_otherrepairs,,land_unit_approved_or_zoned,Sites_landunitapprovedorzoned
incExp_othersalaries,,land_unit_type,Sites_landunittype
incExp_paintinganddecorating,,land_units,Sites_landunits
incExp_payrolltaxes,,land_use,Sites_landuse
incExp_payrolltotal,,land_value,Sales_landvalue
incExp_percentagerent,,land_value_per_sf,
incExp_pgi,,last_rent_increase,Unit Lease_lastrentincrease
incExp_pgipersf,,lat,Parcel_lat
incExp_pgiperunit,,lat_centroid,
incExp_professionalservicesexp,,lease_commencement_date,
incExp_repairsandmaintenance,,lease_comp_id,
incExp_reserves,,lease_concessions,
incExp_sewerexpense,,lease_conditions,
incExp_surveydate,,lease_expiration_date,Unit Lease_leaseexpiration
incExp_taxexpense,,lease_options,
incExp_totalexpenses,,lease_start_date,Unit Lease_leasestart
incExp_totalutilities,,lease_tenant_improvs,
incExp_trashexpense,,lease_term_months,
incExp_vacancy,,lease_transaction_type,Sales_transactiontype
incExp_vacancycost,,lease_type,
incExp_vacancycostpersf,,leasedate,
incExp_vacancycostperunit,,leaseexpiration,
incExp_waterexpense,,leaseexpiredate,
Parcel_address,,leasestart,
Parcel_appraisalfile,,leaseterm,
Parcel_appraisalusage,,legal_description,Sales_legaldescription
Parcel_cbsa_id,,lender,Sales_lender
Parcel_cbsa_name,,lender_name,
Parcel_censusblock,,lessor,
Parcel_censustract,,lessor_name,
Parcel_city,,lh_occupancy,Improvement_lhoccupancy
Parcel_country,,lhtc,Unit Lease_lhtc
Parcel_county,,lightbox_created_by,
Parcel_createdby,,lightbox_id,
Parcel_districtspending,,lightbox_timestamp,
Parcel_districturl,,lng,Parcel_lng
Parcel_eastboundary,,lng_centroid,
Parcel_enrollment,,locationdescription,Parcel_locationdescription
Parcel_far,,major_type,
Parcel_id,,management_company,Unit Lease Summary_managementcompany
Parcel_isgroundlease,,market,Parcel_market
Parcel_lat,,market_rent_max,Unit Lease_marketrentmax
Parcel_lng,,market_rent_min,Unit Lease_marketrentmin
Parcel_locationdescription,,market_rent_per_mo,Unit Lease_marketrentmo
Parcel_market,,market_rent_per_sf,
Parcel_msa,,marketrentmo,Unit Lease_marketrentsf
Parcel_municipality,,marketrentsf,
Parcel_name,,max_build_height,Zoning_maxbuildheight
Parcel_name,,max_gross_lihtc_restricted_rent,Unit Lease_MaxGrossLIHTCRestrictedRent
Parcel_neighborhood,,max_site_coverage,Zoning_maxsitecoverage
Parcel_neighborhoodcomments,,median_hh_income,
Parcel_northboundary,,median_home_value,Sites_medianhomevalue
Parcel_opportunityzone,,median_household_income,Sites_medianhouseholdincome
