LightBox Source Fields,CoStar Source Fields,Consolidated ERD Fields
incExp_repairsandmaintenance,,isexcel
incExp_reserves,,jurisdiction
incExp_sewerexpense,,land_assessment
incExp_surveydate,,land_hectares
incExp_taxexpense,,land_sf
incExp_totalexpenses,,land_square_meters
incExp_totalutilities,,land_unit_approved_or_zoned
incExp_trashexpense,,land_unit_type
incExp_vacancy,,land_units
incExp_vacancycost,,land_use
incExp_vacancycostpersf,,land_value
incExp_vacancycostperunit,,land_value_per_sf
incExp_waterexpense,,last_rent_increase
Parcel_address,,lat
Parcel_appraisalfile,,lat_centroid
Parcel_appraisalusage,,lease_commencement_date
Parcel_cbsa_id,,lease_comp_id
Parcel_cbsa_name,,lease_concessions
Parcel_censusblock,,lease_conditions
Parcel_censustract,,lease_expiration_date
Parcel_city,,lease_options
Parcel_country,,lease_start_date
Parcel_county,,lease_tenant_improvs
Parcel_createdby,,lease_term_months
Parcel_districtspending,,lease_transaction_type
Parcel_districturl,,lease_type
Parcel_eastboundary,,leasedate
Parcel_enrollment,,leaseexpiration
Parcel_far,,leaseexpiredate
Parcel_id,,leasestart
Parcel_isgroundlease,,leaseterm
Parcel_lat,,legal_description
Parcel_lng,,lender
Parcel_locationdescription,,lender_name
Parcel_market,,lessor
Parcel_msa,,lessor_name
Parcel_municipality,,lh_occupancy
Parcel_name,,lhtc
Parcel_name,,lightbox_created_by
Parcel_neighborhood,,lightbox_id
Parcel_neighborhoodcomments,,lightbox_timestamp
Parcel_northboundary,,lng
Parcel_opportunityzone,,lng_centroid
Parcel_otherdbrefs,,locationdescription
Parcel_owner,,major_type
Parcel_parcelcomments,,management_company
Parcel_parcelverificationdata,,market
Parcel_propertymajortype,,market_rent_max
Parcel_propertysubtype,,market_rent_min
Parcel_propertytype,,market_rent_per_mo
Parcel_readyforuse,,market_rent_per_sf
Parcel_schooldistrict,,marketrentmo
Parcel_southboundary,,marketrentsf
Parcel_state,,max_build_height
Parcel_studentteacherratio,,max_gross_lihtc_restricted_rent
Parcel_submarket,,max_site_coverage
Parcel_supportingfiles,,median_hh_income
Parcel_timestamp,,median_home_value
Parcel_townshiprange,,median_household_income
Parcel_westboundary,,merge_timestamp
Parcel_zip,,merged_by_user_or_system
Saleinfo_NIM,,mf_br_max
Sales_activestatus,,mf_br_min
Sales_adjustmentcomments,,mf_carport_fee_monthly
Sales_appraisaldate,,mf_garage_fee_monthly
Sales_appraisedvalue,,mf_lease_comments
Sales_bookpageorrefdoc,,mf_lease_notes
Sales_businessvalueadjustment,,mf_lease_survey_date
Sales_buyertype,,mf_occupancy
Sales_caprate,,mf_rent_concessions
Sales_caprate,,mf_rent_per_mo_max
Sales_cleanupcosts,,mf_rent_per_mo_min
Sales_conditionsofsale,,mf_rent_per_sf_max
Sales_conditionsofsaleadjustment,,mf_rent_per_sf_min
Sales_confidential,,mf_rent_per_sf_per_mo_max
Sales_currentlistprice,,mf_rent_per_sf_per_mo_min
Sales_currentlppercentdiff,,mf_rent_type
Sales_currentuse,,mf_size_sf_max
Sales_datasource,,mf_size_sf_min
Sales_daysonmarket,,mf_source_notes
Sales_diminutionsource,,mf_surveyed_unit_count_total
Sales_discountrate,,mf_total_annual_rent
Sales_egim,,mf_total_rent_per_month
Sales_environmentalconcerns,,mf_unit_amenities
Sales_environmentalremarks,,mf_vacant_units_count
Sales_environmentalstatus,,mf_weighted_avg_rent_per_sf_per_mo
Sales_excesslandadjustment,,mf_weighted_avg_rent_per_sf_per_year
Sales_expendituresaftersaleadjustment,,mf_weighted_avg_rent_per_unit
Sales_expensegrowthrate,,mfamenities
Sales_ffandeadjustment,,min_lot_area
Sales_financing,,minimum_lot_area
Sales_financingtermsadjustment,,monthly_or_daily_rent
Sales_grantee,,msa
Sales_grantor,,multifamily_gba
Sales_highestandbestuse,,municipality
Sales_holdingperiodyears,,name
Sales_hotelroomrevmultiplier,,neighborhood
Sales_id,,neighborhoodcomments
Sales_improvementvalue,,net_income_multiplier
