CoStar Source Fields,Consolidated ERD Fields,LightBox Aligned Fields
,,incExp_baserentabatement
,,incExp_buildingrepairs
,,incExp_cleaning
,,incExp_comments
,,incExp_deductreserves
,,incExp_egi
,,incExp_egipersf
,,incExp_egiperunit
,,incExp_electricexpense
,,incExp_ExpensePerSF
,,incExp_ExpensePerUnit
,,incExp_expenseratio
,,incExp_expleasingcommissions
,,incExp_exptenantimprovements
,,incExp_financialstype
,,incExp_fuelexpense
,,incExp_gasexpense
,,incExp_generalandadministrative
,,incExp_generalandadministrative2
,,incExp_GroundRentExp
,,incExp_groundsandsecurity
,,incExp_insurance
,,incExp_maintenancesalaries
,,incExp_management
,,incExp_managerleasingsalaries
,,incExp_name
,,incExp_netparkingincome
,,incExp_noi
,,incExp_noiperbed
,,incExp_noipergbam2
,,incExp_noiperrasf
,,incExp_noipersf
,,incExp_noiperunit
,,incExp_noiperusablesf
,,incExp_nonrevenueunits
,,incExp_occupancy
,,incExp_onsitemanagementexp
,,incExp_otherexpenses
,,incExp_otherincome
,,incExp_otherrepairs
,,incExp_othersalaries
,,incExp_paintinganddecorating
,,incExp_payrolltaxes
,,incExp_payrolltotal
,,incExp_percentagerent
,,incExp_pgi
,,incExp_pgipersf
,,incExp_pgiperunit
,,incExp_professionalservicesexp
,,incExp_repairsandmaintenance
,,incExp_reserves
,,incExp_sewerexpense
,,incExp_surveydate
,,incExp_taxexpense
,,incExp_totalexpenses
,,incExp_totalutilities
,,incExp_trashexpense
,,incExp_vacancy
,,incExp_vacancycost
,,incExp_vacancycostpersf
,,incExp_vacancycostperunit
,,incExp_waterexpense
